student_name,book_title,author,page_count,published_date
Alice Johnson,To Kill a Mockingbird,Harper Lee,281,1960-07-11
Alice Johnson,1984,George Orwell,328,1949-06-08
Alice Johnson,Pride and Prejudice,Jane Austen,432,1813-01-28
Alice Johnson,The Hobbit,J.R.R. Tolkien,310,1937-09-21
Alice Johnson,The Great Gatsby,F. Scott Fitzgerald,180,1925-04-10
Bob Smith,The Catcher in the Rye,J.D. Salinger,277,1951-07-16
Bob Smith,Moby-Dick,Herman Melville,635,1851-10-18
Bob Smith,The Hobbit,J.R.R. Tolkien,310,1937-09-21
Bob Smith,1984,George Orwell,328,1949-06-08
Bob Smith,Brave New World,Aldous Huxley,311,1932-08-18
Carol Davis,Jane Eyre,Charlotte Brontë,500,1847-10-16
Carol Davis,Wuthering Heights,Emily Brontë,416,1847-12-01
Carol Davis,The Great Gatsby,F. Scott Fitzgerald,180,1925-04-10
Carol Davis,The Hobbit,J.R.R. Tolkien,310,1937-09-21
Carol Davis,Animal Farm,George Orwell,112,1945-08-17
David Wilson,Crime and Punishment,Fyodor Dostoevsky,671,1866-01-01
David Wilson,The Brothers Karamazov,Fyodor Dostoevsky,824,1880-11-01
David Wilson,War and Peace,Leo Tolstoy,1225,1869-01-01
David Wilson,Anna Karenina,Leo Tolstoy,864,1878-01-01
David Wilson,1984,George Orwell,328,1949-06-08
Emma Brown,The Alchemist,Paulo Coelho,208,1988-01-01
Emma Brown,The Little Prince,Antoine de Saint-Exupéry,96,1943-04-06
Emma Brown,The Hobbit,J.R.R. Tolkien,310,1937-09-21
Emma Brown,To Kill a Mockingbird,Harper Lee,281,1960-07-11
Emma Brown,Animal Farm,George Orwell,112,1945-08-17
Frank Miller,Dune,Frank Herbert,412,1965-08-01
Frank Miller,Foundation,Isaac Asimov,255,1951-06-01
Frank Miller,Neuromancer,William Gibson,271,1984-07-01
Frank Miller,Snow Crash,Neal Stephenson,480,1992-06-01
Frank Miller,The Hobbit,J.R.R. Tolkien,310,1937-09-21
Grace Taylor,The Great Gatsby,F. Scott Fitzgerald,180,1925-04-10
Grace Taylor,Pride and Prejudice,Jane Austen,432,1813-01-28
Grace Taylor,Jane Eyre,Charlotte Brontë,500,1847-10-16
Grace Taylor,The Catcher in the Rye,J.D. Salinger,277,1951-07-16
Grace Taylor,1984,George Orwell,328,1949-06-08
Henry Moore,The Lord of the Rings,J.R.R. Tolkien,1178,1954-07-29
Henry Moore,The Hobbit,J.R.R. Tolkien,310,1937-09-21
Henry Moore,Dune,Frank Herbert,412,1965-08-01
Henry Moore,Foundation,Isaac Asimov,255,1951-06-01
Henry Moore,1984,George Orwell,328,1949-06-08
Isabella Clark,The Alchemist,Paulo Coelho,208,1988-01-01
Isabella Clark,Brave New World,Aldous Huxley,311,1932-08-18
Isabella Clark,Animal Farm,George Orwell,112,1945-08-17
Isabella Clark,The Great Gatsby,F. Scott Fitzgerald,180,1925-04-10
Isabella Clark,To Kill a Mockingbird,Harper Lee,281,1960-07-11
Jack Anderson,Moby-Dick,Herman Melville,635,1851-10-18
Jack Anderson,War and Peace,Leo Tolstoy,1225,1869-01-01
Jack Anderson,Crime and Punishment,Fyodor Dostoevsky,671,1866-01-01
Jack Anderson,The Hobbit,J.R.R. Tolkien,310,1937-09-21
Jack Anderson,1984,George Orwell,328,1949-06-08
